sequence,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBumB3iBtqBXsBarB,v115@GhA8HeD8FeD8EeC8JeT/IvhFihB3iB9qBcrBXsBOqB,v115@GhA8HeD8FeD8EeC8Jei/IvhFRhB3iBTmB0qBXsBFqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0gBlhB3iBxqBXsB2vB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBUhBunB3qB3rBasB,v115@GhA8HeD8FeD8EeC8JeT/IvhFdmBRiBCnB0qBXsBOqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF0hBliBxqBXsBKqBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB0hBliBCrBXsBfrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFRhBunB/rBasB0qBNqB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3iBxlB0lBlmB2vBXsB,v115@GhA8HeD8FeD8EeC8JeT/IvhFamBumB3iB0qBXsBNqB,v115@GhA8HeD8FeD8EeC8Jex/IvhFihB3iB9qBcrBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhFNlBymBunBfsB3qBUrB,v115@GhA8HeD8FeD8EeC8JeiBJvhF3iBxkBcrB9qBXsBmpB,v115@GhA8HeD8FeD8EeC8JeT/IvhF3hBunBdsBiqB/qBUrB,v115@GhA8HeD8FeD8EeC8JeT/IvhFUhBunBdsBiqB/qB3rB,v115@GhA8HeD8FeD8EeC8Je3CJvhFxkBdrBqrBmkBUnB3qB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlB3hB3iBUrBFsBuqB,v115@GhA8HeD8FeD8EeC8JeT/IvhFZlBWmB3iB8qBFsB3rB,v115@GhA8HeD8FeD8EeC8Jei/IvhF3iBUlBxrBFrB3qBzrB
SIOJTZL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X
SIOJTZS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X
SIOJLTS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SIOJLTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOJLST,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
SIOJLSZ,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
SIOJLZT,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
SIOJLZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSTZ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSLZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSZT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSZL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJZTL,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJZTS,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJZLT,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
SIOJZLS,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJZST,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJZSL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSTLZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSTJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOSTJZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
SIOSTZL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOSTZJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOSLTJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSLTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSLJT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSLJZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSLZT,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSLZJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOSJTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSJTZ,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSJLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSJLZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSJZT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSJZL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSZTL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOSZTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOSZLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SIOSZLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOSZJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOSZJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZTLJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
SIOZTLS,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
SIOZTJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIOZTJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
SIOZTSL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOZTSJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SIOZLTJ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SIOZLTS,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
SIOZLJT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIOZLJS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZLST,X,O,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SIOZLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SIOZJTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZJTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZJLT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SIOZJLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZJST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZJSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZSTL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZSTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZSLT,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
SIOZSLJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZSJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SIOZSJL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTIJSZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
SLTIJSO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
SLTIJZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTIJZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTIJOS,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
SLTIJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
SLTISJZ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
SLTISJO,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTISZJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
SLTISZO,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
SLTISOJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTISOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTIZJS,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O
SLTIZJO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
SLTIZSJ,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O
SLTIZSO,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
SLTIZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
SLTIZOS,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
SLTIOJS,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
SLTIOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
SLTIOSJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTIOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTIOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
SLTIOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
SLTJISZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
SLTJISO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
SLTJIZS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTJIZO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTJIOS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
SLTJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
SLTJSIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTJSIO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SLTJSZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
SLTJSOI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
SLTJZIS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJZIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTJZSI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
SLTJZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTJZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
SLTJOIS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
SLTJOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
SLTJOSI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTJOSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
SLTJOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTJOZS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
SLTSIJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
SLTSIJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTSIZJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
SLTSIZO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
SLTSIOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTSIOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTSJIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTSJIO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SLTSJZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SLTSJOI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTSJOZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTSZIJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTSZIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTSZJI,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTSZJO,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTSZOI,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTSZOJ,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTSOIJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTSOIZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTSOJI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTSOJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTSOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTSOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTZIJS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O
SLTZIJO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X,O
SLTZISJ,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,O,O,X,O
SLTZISO,X,O,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
SLTZIOJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
SLTZIOS,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,O
SLTZJIS,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
SLTZJIO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
SLTZJSI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
SLTZJSO,X,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X
SLTZJOI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
SLTZJOS,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X
SLTZSIJ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTZSIO,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTZSJI,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTZSJO,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTZSOI,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTZSOJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTZOIJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTZOIS,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
SLTZOJI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
SLTZOJS,X,O,X,X,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X
SLTZOSI,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
SLTZOSJ,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
SLTOIJS,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X
SLTOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
SLTOISJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTOISZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTOIZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
SLTOIZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
SLTOJIS,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
SLTOJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
SLTOJSI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTOJSZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
SLTOJZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTOJZS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
SLTOSIJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTOSIZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SLTOSJI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTOSJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
SLTOSZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTOSZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTOZIJ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTOZIS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
SLTOZJI,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTOZJS,X,O,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X
SLTOZSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
SLTOZSJ,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLITJSZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
SLITJSO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITJZS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
SLITJZO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
SLITJOS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SLITJOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
SLITSJZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
SLITSJO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITSZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
SLITSZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITSOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITSOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITZJS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
SLITZJO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O
SLITZSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,O
SLITZSO,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
SLITZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O
SLITZOS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
SLITOJS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SLITOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
SLITOSJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITOSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLITOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X
SLITOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
SLIJTSZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJTSO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJTZS,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLIJTZO,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLIJTOS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SLIJTOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIJSTZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJSTO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJSZT,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
SLIJSZO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJSOT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJSOZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJZTS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SLIJZTO,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SLIJZST,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLIJZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIJZOT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLIJZOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIJOTS,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
SLIJOTZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIJOST,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIJOZT,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLIJOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLISTJZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISTJO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISTZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISTZO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISTOJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISTOZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISJTZ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISJTO,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISJZT,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
SLISJZO,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISJOT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISJOZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISZTJ,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
SLISZTO,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
SLISZJT,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
SLISZJO,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISZOT,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
SLISZOJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISOTJ,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISOTZ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISOJT,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISOJZ,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISOZT,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLISOZJ,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
SLIZTJS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SLIZTJO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SLIZTSJ,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
SLIZTSO,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O
SLIZTOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
SLIZTOS,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
SLIZJTS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SLIZJTO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
SLIZJST,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
SLIZJSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SLIZJOT,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
SLIZJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
