sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STLOSZJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X
STLOZIJ,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STLOZIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X
STLOZJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLOZJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLOZSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X
STLOZSJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X
STJILSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STJILSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJILZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJILZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJILOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJILOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJISLZ,X,X,X,X,O,X,X,X,X,X,X,O,O,X
STJISLO,X,X,X,X,O,X,X,X,X,X,X,O,O,X
STJISZL,X,X,X,X,O,O,O,X,X,X,X,O,O,O
STJISZO,X,X,X,X,O,O,O,X,X,X,X,O,O,O
STJISOL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STJISOZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STJIZLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJIZLO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJIZSL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STJIZSO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STJIZOL,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJIZOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STJIOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJIOLZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJIOSL,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STJIOSZ,X,X,X,X,O,O,O,X,X,X,X,O,O,X
STJIOZL,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STJIOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STJLISZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STJLISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
