sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
SLTSOIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSOIZ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSOJI,O,X,X,X,O,X,O,X,X,X,X,O,X
SLTSOJZ,O,X,X,X,O,X,O,X,X,X,X,O,X
SLTSOZI,O,O,X,X,X,X,X,X,X,X,O,O,X
SLTSOZJ,O,X,X,X,X,X,X,X,X,O,O,O,X
SLTZIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTZIJO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTZISJ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLTZISO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTZIOJ,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTZIOS,X,O,X,X,X,X,X,X,O,X,O,X,X
SLTZJIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTZJIO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTZJOI,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X
SLTZSIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTZSIO,O,O,X,X,X,X,X,X,X,X,O,O,X
SLTZSJI,O,X,X,X,X,X,X,O,X,X,O,O,X
SLTZSJO,O,X,X,X,X,X,X,O,X,X,O,O,X
SLTZSOI,O,O,X,X,X,X,X,X,X,X,O,O,X
SLTZSOJ,O,X,X,X,X,X,X,X,X,O,O,O,X
SLTZOIJ,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTZOIS,X,O,X,X,X,X,X,X,O,X,O,X,X
SLTZOJI,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTZOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
SLTZOSI,O,O,X,X,X,X,X,X,X,X,O,X,X
SLTZOSJ,O,X,X,X,X,X,X,X,X,O,O,X,X
SLTOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTOIJZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTOISJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTOISZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTOIZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTOIZS,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTOJIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTOJSI,O,X,X,X,O,X,O,X,X,X,X,X,X
SLTOJSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
SLTOJZI,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTOJZS,X,X,X,X,X,X,X,X,X,O,X,X,X
SLTOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X
SLTOSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
SLTOSJI,O,X,X,X,O,X,O,X,X,X,X,X,X
SLTOSJZ,O,X,X,X,O,X,O,X,X,X,X,X,X
SLTOSZI,O,O,X,X,X,X,X,X,X,X,O,X,X
SLTOSZJ,O,X,X,X,X,X,X,X,X,O,O,X,X
SLTOZIJ,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTOZIS,X,O,X,X,X,X,X,X,O,X,O,X,X
SLTOZJI,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTOZJS,X,X,X,X,X,X,X,X,X,O,X,X,X
SLTOZSI,O,O,X,X,X,X,X,X,X,X,O,X,X
SLTOZSJ,O,X,X,X,X,X,X,X,X,O,O,X,X
SLITJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITJSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITJZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SLITJZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SLITJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITJOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SLITSJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITSJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITSZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITSZO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITSOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITZJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITZJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITZSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITZOJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SLITZOS,X,O,X,O,X,X,X,X,O,X,X,X,X
SLITOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITOJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SLITOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLITOZJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SLITOZS,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIJTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIJTSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIJTZS,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIJTZO,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIJTOS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIJTOZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIJSTZ,X,X,X,O,O,X,X,O,X,X,X,X,X
SLIJSTO,X,X,X,O,O,X,X,O,X,X,X,X,X
SLIJSZT,X,X,X,O,X,X,X,O,X,X,X,X,O
SLIJSZO,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIJSOT,X,X,X,O,O,X,X,X,X,X,X,X,X
SLIJSOZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIJZTS,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIJZTO,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIJZST,X,X,X,O,X,O,X,X,X,X,X,X,X
SLIJZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
SLIJZOT,X,O,X,O,X,O,X,X,O,X,X,X,X
SLIJZOS,X,X,X,O,X,O,X,X,O,X,X,X,X
SLIJOTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIJOTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIJOST,X,X,X,O,O,X,X,X,X,X,X,X,X
SLIJOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIJOZT,X,O,X,O,X,O,X,X,O,X,X,X,X
SLIJOZS,X,X,X,O,X,O,X,X,O,X,X,X,X
SLISTJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISTJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISTZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISTZO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISTOJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISTOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISJTZ,X,X,X,O,O,X,X,O,X,X,X,X,X
SLISJTO,X,X,X,O,O,X,X,O,X,X,X,X,X
SLISJZT,X,X,X,O,X,X,X,O,X,X,X,X,O
SLISJZO,X,X,X,O,X,X,X,X,X,X,X,X,X
SLISJOT,X,X,X,O,O,X,X,X,X,X,X,X,X
SLISJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SLISZTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISZJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SLISZJO,X,X,X,O,X,X,X,X,X,X,X,X,X
SLISZOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLISZOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SLISOTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISOTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLISOJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SLISOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SLISOZT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLISOZJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIZTJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZTJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZTSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZTOJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZTOS,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZJTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZJTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZJST,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIZJSO,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIZJOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZJOS,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIZSTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZSTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIZSJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SLIZSJO,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIZSOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIZOTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZOTS,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZOJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZOJS,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIZOST,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIZOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIOTJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIOTJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIOTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIOTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIOTZJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOTZS,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOJTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIOJTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SLIOJST,X,X,X,O,O,X,X,X,X,X,X,X,X
SLIOJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIOJZT,X,O,X,O,X,O,X,X,O,X,X,X,X
SLIOJZS,X,X,X,O,X,O,X,X,O,X,X,X,X
SLIOSTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIOSTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SLIOSJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SLIOSJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SLIOSZT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOSZJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIOZTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOZTS,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOZJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOZJS,X,X,X,O,X,X,X,X,O,X,X,X,X
SLIOZST,X,O,X,O,X,X,X,X,O,X,X,X,X
SLIOZSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SLJTISZ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLJTISO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTIZS,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJTIZO,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJTIOS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTIOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJTSIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJTSIO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJTSZI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJTSZO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJTSOI,O,X,X,X,O,X,O,O,X,X,X,O,X
SLJTSOZ,O,X,X,X,O,X,O,O,X,X,X,O,X
SLJTZIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTZIO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJTZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJTZOI,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTZOS,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTOIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJTOSI,O,X,X,X,O,X,O,X,X,X,X,X,X
SLJTOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
SLJTOZI,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJTOZS,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJITSZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJITSO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJITZS,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJITZO,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJITOS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJITOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJISTZ,X,X,X,X,O,X,X,O,X,X,X,X,X
SLJISTO,X,X,X,X,O,X,X,O,X,X,X,X,X
SLJISZT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLJISZO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJISOT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJIZTS,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJIZTO,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJIZST,X,X,X,X,X,O,X,X,X,X,X,X,X
SLJIZSO,X,X,X,X,X,O,X,X,X,X,X,X,X
SLJIZOT,X,O,X,X,X,O,X,X,O,X,X,X,X
SLJIZOS,X,X,X,X,X,O,X,X,O,X,X,X,X
SLJIOTS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJIOTZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJIOST,X,X,X,X,O,X,X,X,X,X,X,X,X
SLJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJIOZT,X,O,X,X,X,O,X,X,O,X,X,X,X
SLJIOZS,X,X,X,X,X,O,X,X,O,X,X,X,X
SLJSTIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJSTIO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJSTZI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJSTZO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJSTOI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJSTOZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLJSITZ,X,X,X,X,O,X,X,O,X,X,X,X,X
SLJSITO,X,X,X,X,O,X,X,O,X,X,X,X,X
SLJSIZT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLJSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJSIOT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLJSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJSZTI,O,X,X,X,X,X,X,O,X,X,X,O,X
SLJSZTO,O,X,X,X,X,X,X,O,X,X,X,O,X
SLJSZIT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLJSZIO,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJSZOT,O,X,X,X,X,X,X,O,X,X,X,X,X
SLJSZOI,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJSOTI,O,X,X,X,O,X,X,O,X,X,X,X,X
SLJSOTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
SLJSOIT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLJSOIZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJSOZT,O,X,X,X,X,X,X,O,X,X,X,X,X
SLJSOZI,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJZTIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJZTIO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJZTSI,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJZTSO,X,X,X,X,X,X,O,X,X,X,X,X,X
SLJZTOI,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJZTOS,X,X,X,X,X,X,O,X,X,X,X,X,X
SLJZITS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJZITO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJZIST,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJZISO,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJZIOT,X,O,X,X,X,X,X,X,O,X,X,X,X
SLJZIOS,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJZSTI,X,X,X,X,X,X,X,O,X,X,X,X,X
SLJZSTO,X,X,X,X,X,X,X,O,X,X,X,X,X
SLJZSIT,X,X,X,X,X,X,X,O,X,X,X,X,X
SLJZSIO,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJZSOT,X,X,X,X,X,X,X,O,X,X,X,X,X
SLJZSOI,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJZOTI,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJZOTS,X,X,X,X,X,X,O,X,X,X,X,X,X
SLJZOIT,X,O,X,X,X,X,X,X,O,X,X,X,X
SLJZOIS,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJZOST,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOTIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJOTIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJOTSI,O,X,X,X,O,X,O,X,X,X,X,X,X
SLJOTSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
SLJOTZI,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOITS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJOITZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLJOIST,X,X,X,X,O,X,X,X,X,X,X,X,X
SLJOISZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJOIZT,X,O,X,X,X,O,X,X,O,X,X,X,X
SLJOIZS,X,X,O,X,X,O,X,X,O,X,X,X,X
SLJOSTI,O,X,X,X,O,X,X,O,X,X,X,X,X
SLJOSTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
SLJOSIT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLJOSIZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJOSZT,O,X,X,X,X,X,X,O,X,X,X,X,X
SLJOSZI,X,X,O,X,X,X,X,X,X,X,X,X,X
SLJOZTI,X,O,X,X,X,X,X,X,X,X,X,X,X
SLJOZTS,X,X,X,X,X,X,O,X,X,X,X,X,X
SLJOZIT,X,O,X,X,X,X,X,X,O,X,X,X,X
SLJOZIS,X,X,O,X,X,X,X,X,O,X,X,X,X
SLJOZST,X,X,X,X,X,X,X,X,X,X,X,X,X
SLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSTIJZ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTIJO,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTIZJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTIZO,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTIOJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTJIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSTJIO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSTJZI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSTJZO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSTJOI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSTJOZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSTZIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTZIO,O,O,X,X,X,X,X,X,X,X,O,O,X
SLSTZJI,O,X,X,X,X,X,X,O,X,X,O,O,X
SLSTZJO,O,X,X,X,X,X,X,O,X,X,O,O,X
SLSTZOI,O,O,X,X,X,X,X,X,X,X,O,O,X
SLSTZOJ,O,X,X,X,X,X,X,X,X,X,O,O,X
SLSTOIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTOIZ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSTOJI,O,X,X,X,O,X,X,X,X,X,X,O,X
SLSTOJZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SLSTOZI,O,O,X,X,X,X,X,X,X,X,O,O,X
SLSTOZJ,O,X,X,X,X,X,X,X,X,X,O,O,X
SLSITJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSITJO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSITZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSITZO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSITOJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSITOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSIJTZ,X,X,X,X,O,X,X,O,X,X,X,X,X
SLSIJTO,X,X,X,X,O,X,X,O,X,X,X,X,X
SLSIJZT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLSIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSIJOT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLSIJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSIZTJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSIZTO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSIZJT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLSIZJO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSIZOT,X,O,X,X,X,X,X,X,O,X,X,X,X
SLSIZOJ,X,X,X,X,X,X,X,X,O,X,X,X,X
SLSIOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSIOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSIOJT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLSIOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSIOZT,X,O,X,X,X,X,X,X,O,X,X,X,X
SLSIOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X
SLSJTIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSJTIO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSJTZI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSJTZO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSJTOI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSJTOZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLSJITZ,X,X,X,X,O,X,X,O,X,X,X,X,X
SLSJITO,X,X,X,X,O,X,X,O,X,X,X,X,X
SLSJIZT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLSJIZO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSJIOT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SLSJZTI,O,X,X,X,X,X,X,O,X,X,X,O,X
SLSJZTO,O,X,X,X,X,X,X,O,X,X,X,O,X
SLSJZIT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLSJZIO,X,X,O,X,X,X,X,X,X,X,X,X,X
SLSJZOT,O,X,X,X,X,X,X,O,X,X,X,X,X
SLSJZOI,X,X,O,X,X,X,X,X,X,X,X,X,X
SLSJOTI,O,X,X,X,O,X,X,O,X,X,X,X,X
SLSJOTZ,O,X,X,X,O,X,X,O,X,X,X,X,X
SLSJOIT,X,X,X,X,O,X,X,X,X,X,X,X,X
SLSJOIZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SLSJOZT,O,X,X,X,X,X,X,O,X,X,X,X,X
SLSJOZI,X,X,O,X,X,X,X,X,X,X,X,X,X
SLSZTIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLSZTIO,O,O,X,X,X,X,X,X,X,X,O,O,X
SLSZTJI,O,X,X,X,X,X,X,O,X,X,O,O,X
SLSZTJO,O,X,X,X,X,X,X,O,X,X,O,O,X
SLSZTOI,O,O,X,X,X,X,X,X,X,X,O,O,X
SLSZTOJ,O,X,X,X,X,X,X,X,X,X,O,O,X
SLSZITJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLSZITO,X,O,X,X,X,X,X,X,X,X,O,X,X
SLSZIJT,X,X,X,X,X,X,X,O,X,X,X,X,O
SLSZIJO,X,X,O,X,X,X,X,X,X,X,X,X,X
SLSZIOT,X,O,X,X,X,X,X,X,O,X,O,X,X
SLSZIOJ,X,X,X,X,X,X,X,X,O,X,X,X,X
SLSZJTI,O,X,X,X,X,X,X,O,X,X,O,O,X
SLSZJTO,O,X,X,X,X,X,X,O,X,X,O,O,X
SLSZJIT,X,X,X,X,X,X,X,O,X,X,O,X,O
SLSZJIO,X,X,O,X,X,X,X,X,X,X,O,X,X
SLSZJOT,O,X,X,X,X,X,X,O,X,X,O,X,X
SLSZJOI,X,X,O,X,X,X,X,X,X,X,O,X,X
SLSZOTI,O,O,O,X,X,X,X,X,X,X,O,X,X
SLSZOTJ,O,X,O,X,X,X,X,X,X,X,O,X,X
SLSZOIT,X,O,O,X,X,X,X,X,O,X,O,X,X
SLSZOIJ,X,X,O,X,X,X,X,X,O,X,X,X,X
SLSZOJT,O,X,X,X,X,X,X,O,X,X,O,X,X
SLSZOJI,X,X,O,X,X,X,X,X,X,X,O,X,X
SLSOTIJ,O,O,O,X,X,X,X,X,X,X,X,X,X
SLSOTIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
SLSOTJI,O,X,O,X,O,X,X,X,X,X,X,X,X
