sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
TJSZLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TJSZLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TJSZOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJSZOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TJSOILZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJSOIZL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TJSOLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSOLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJSOZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TJZILSO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZILOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZISLO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TJZISOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZIOLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZIOSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZLISO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TJZLIOS,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TJZLSIO,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TJZLSOI,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TJZLOIS,X,O,X,X,X,X,X,X,O,O,X,X,O,X
TJZLOSI,X,O,X,X,X,X,X,X,O,O,X,X,O,X
TJZSILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZSIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJZSLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TJZSLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TJZSOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJZSOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TJZOILS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZOISL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJZOLIS,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TJZOLSI,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TJZOSIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TJZOSLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TJOILSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJOILZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJOISZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJOSIZL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TJOSLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJOSZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TJOZILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOZISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOZLSI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJOZSLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TSILJZO,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TSILJOZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TSILZOJ,X,X,O,X,X,O,O,X,X,X,X,X,O,X
TSILOJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TSILOZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
TSIJLZO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,X,X,O,X,O,X,X,X,X,X,X,O,X
TSIJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TSIJOZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TSIZLJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TSIZLOJ,X,O,O,X,X,O,X,X,X,X,X,O,O,O
TSIZJLO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TSIZJOL,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TSIZOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TSIZOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TSIOLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TSIOJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TSIOZLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TSIOZJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TSLIJZO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TSLIZOJ,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TSLIOJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TSLIOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TSLJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLJOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLZIJO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TSLZIOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSLZJIO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TSLZJOI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
TSLZOIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSLZOJI,X,O,X,X,X,X,X,X,X,O,X,X,O,O
TSLOIJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TSLOIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TSLOJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLOJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSLOZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TSLOZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TSJILZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJILOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TSJIZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TSJIOZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSJLIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSJLOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSJZILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TSJZIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TSJZLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TSJZLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TSJZOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TSJZOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TSJOILZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TSJOIZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSJOLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSJOLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TSJOZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TSZILJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TSZILOJ,X,O,O,X,X,O,X,X,X,X,X,O,O,O
TSZIJLO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
TSZIJOL,O,O,X,O,X,X,X,X,X,X,X,X,O,O
TSZIOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TSZIOJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
TSZLIJO,X,O,X,X,X,X,X,X,X,X,X,O,O,O
TSZLIOJ,X,O,O,X,X,X,X,X,X,X,X,O,O,O
TSZLJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TSZLJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TSZLOIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSZLOJI,X,O,X,X,X,X,X,X,X,O,X,X,O,O
TSZJILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TSZJIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TSZJLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TSZJLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TSZJOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TSZJOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TSZOILJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSZOIJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TSZOLIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSZOLJI,X,O,O,X,X,X,X,X,X,O,X,X,O,O
TSZOJIL,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TSZOJLI,X,O,O,X,X,X,X,X,X,X,O,X,O,O
TSOILJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TSOILZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
TSOIJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TSOIJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TSOIZLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSOIZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TSOLIJZ,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TSOLIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TSOLJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSOLJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSOLZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TSOLZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TSOJILZ,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TSOJIZL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TSOJLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSOJLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TSOJZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TSOZILJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSOZIJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TSOZLIJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TSOZLJI,X,O,O,X,X,X,X,X,X,O,X,X,O,O
TSOZJIL,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TSOZJLI,X,O,O,X,X,X,X,X,X,X,O,X,O,O
TZILJSO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TZILJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TZILSJO,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TZILSOJ,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TZILOJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TZILOSJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TZIJLSO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZIJLOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZIJSLO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TZIJSOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZIJOLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZISLJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TZISLOJ,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TZISJLO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TZISJOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZISOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TZISOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TZIOLJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TZIOLSJ,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TZIOJLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TZIOSJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TZLIJSO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TZLIJOS,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TZLISJO,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TZLISOJ,X,O,X,X,O,O,O,X,X,X,X,O,O,X
TZLIOJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TZLIOSJ,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TZLJISO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZLJIOS,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZLJSIO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZLJSOI,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZLJOIS,X,O,X,X,O,X,X,X,O,O,X,X,O,X
TZLJOSI,X,O,X,X,O,X,X,X,O,O,X,X,O,X
TZLSIJO,X,O,X,X,O,X,X,X,X,X,X,O,O,O
TZLSIOJ,X,O,O,X,O,X,X,X,X,X,X,O,O,O
TZLSJIO,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TZLSJOI,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TZLSOIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TZLSOJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TZLOIJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TZLOISJ,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TZLOJIS,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TZLOJSI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TZLOSIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TZLOSJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TZJILSO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJILOS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJISLO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TZJISOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJIOLS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJIOSL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJLISO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZJLIOS,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZJLSIO,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZJLSOI,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZJLOIS,X,O,X,X,O,X,X,X,O,O,X,X,O,X
TZJLOSI,X,O,X,X,O,X,X,X,O,O,X,X,O,X
TZJSILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJSIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZJSLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TZJSLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TZJSOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZJSOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TZJOILS,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJOISL,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZJOLIS,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TZJOLSI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TZJOSIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZJOSLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TZSILJO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TZSILOJ,X,O,O,X,X,O,X,X,X,X,X,O,O,O
TZSIJLO,O,O,X,X,X,O,X,X,X,X,X,X,O,X
TZSIJOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZSIOLJ,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TZSIOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TZSLIJO,X,O,X,X,O,X,X,X,X,X,X,O,O,O
TZSLIOJ,X,O,O,X,O,X,X,X,X,X,X,O,O,O
TZSLJIO,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TZSLJOI,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TZSLOIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TZSLOJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TZSJILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TZSJIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZSJLIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TZSJLOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
TZSJOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TZSJOLI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
TZSOILJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TZSOIJL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TZSOLIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TZSOLJI,X,O,O,X,O,X,X,X,X,O,X,X,O,O
TZSOJIL,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TZSOJLI,X,O,O,X,X,X,X,X,X,X,O,X,O,O
TZOILJS,X,O,O,X,O,X,X,X,X,O,X,X,X,X
TZOILSJ,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TZOIJLS,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TZOISLJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TZOISJL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TZOLIJS,X,O,O,X,O,X,X,X,X,O,X,X,X,X
TZOLISJ,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TZOLJIS,X,O,O,X,O,X,X,X,X,O,X,X,O,X
TZOLJSI,X,O,O,X,O,X,X,X,X,O,X,X,O,X
TZOLSIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TZOLSJI,X,O,O,X,O,X,X,X,X,O,X,X,O,O
TZOJILS,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TZOJISL,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TZOJLIS,X,O,O,X,O,X,X,X,X,O,X,X,O,X
TZOJLSI,X,O,O,X,O,X,X,X,X,O,X,X,O,X
TZOJSIL,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TZOJSLI,X,O,O,X,X,X,X,X,X,X,O,X,O,O
TZOSILJ,X,O,O,X,X,X,X,X,X,X,X,X,O,O
TZOSIJL,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TZOSLIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TZOSLJI,X,O,O,X,O,X,X,X,X,O,X,X,O,O
TZOSJIL,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TZOSJLI,X,O,O,X,X,X,X,X,X,X,O,X,O,O
TOILJSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TOILJZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TOILSJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TOILSZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TOILZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TOILZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TOIJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TOIJZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TOISLJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TOISLZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
TOISJLZ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X,X,X,X,O
TOISZLJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TOISZJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TOIZLJS,X,O,O,X,O,X,X,X,X,O,X,X,X,X
TOIZLSJ,X,O,O,X,O,O,O,X,X,X,X,X,O,X
TOIZJLS,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TOIZJSL,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TOIZSLJ,X,O,O,X,X,O,X,X,X,X,X,X,O,O
TOIZSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TOLIJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TOLIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TOLISJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TOLISZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TOLIZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TOLIZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TOLJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TOLJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TOLJSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TOLJSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TOLJZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TOLJZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TOLSIJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TOLSIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TOLSJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TOLSJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TOLSZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TOLSZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TOLZIJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TOLZISJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TOLZJIS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TOLZJSI,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TOLZSIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TOLZSJI,X,O,X,X,O,X,X,X,X,O,X,X,X,O
TOJILSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TOJILZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TOJISZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TOJIZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TOJLISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TOJLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TOJLSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TOJLSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TOJLZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TOJLZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TOJSILZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TOJSIZL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TOJSLIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TOJSLZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TOJSZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TOJSZLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TOJZILS,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TOJZLIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TOJZLSI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TOJZSIL,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TOJZSLI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TOSILJZ,O,X,X,O,X,O,O,X,X,X,X,X,X,X
TOSILZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
